country;Year;UD
Argentina;2017;
Argentina;2016;
Argentina;2015;
Argentina;2014;31.89699233
Argentina;2013;30.43495667
Argentina;2012;29.99753283
Argentina;2011;31.81780195
Argentina;2010;30.14027414
Argentina;2009;31.63118235
Argentina;2008;30.6871118
Argentina;2007;
Argentina;2006;
Argentina;2005;37.02781495
Argentina;2004;
Argentina;2003;
Argentina;2002;
Argentina;2001;
Argentina;2000;31.71260152
Argentina;1999;
Argentina;1998;
Argentina;1997;40.72075741
Argentina;1996;
Argentina;1995;
Argentina;1994;
Argentina;1993;45.5
Argentina;1992;
Argentina;1991;
Argentina;1990;
Argentina;1989;
Argentina;1988;
Argentina;1987;
Argentina;1986;44.08108108
Argentina;1985;
Argentina;1984;
Argentina;1983;
Argentina;1982;41
Argentina;1981;
Argentina;1980;42
Argentina;1979;42
Argentina;1978;
Argentina;1977;
Argentina;1976;
Argentina;1975;
Argentina;1974;43
Argentina;1973;43
Argentina;1972;
Argentina;1971;
Argentina;1970;
Argentina;1969;
Argentina;1968;
Argentina;1967;
Argentina;1966;
Argentina;1965;36
Argentina;1964;
Argentina;1963;
Argentina;1962;40
Argentina;1961;
Argentina;1960;
Australia;2017;15
Australia;2016;
Australia;2015;
Australia;2014;
Australia;2013;17.06446244
Australia;2012;
Australia;2011;
Australia;2010;
Australia;2009;
Australia;2008;18.54417856
Australia;2007;
Australia;2006;
Australia;2005;
Australia;2004;
Australia;2003;23.15365525
Australia;2002;
Australia;2001;
Australia;2000;24.83061151
Australia;1999;25.21205642
Australia;1998;27.85240314
Australia;1997;29.53774227
Australia;1996;30.98341752
Australia;1995;31.38259921
Australia;1994;33.7840752
Australia;1993;37.72140882
Australia;1992;39.16458626
Australia;1991;41.9990381
Australia;1990;41.31773624
Australia;1989;41.42173125
Australia;1988;42.78724497
Australia;1987;44.41653543
Australia;1986;45.44134314
Australia;1985;46.13356675
Australia;1984;46.39254518
Australia;1983;47.32273447
Australia;1982;49.3651205
Australia;1981;49.05454209
Australia;1980;49.63658791
Australia;1979;49.58738953
Australia;1978;49.22977041
Australia;1977;49.05593019
Australia;1976;49.46821271
Australia;1975;50.0639872
Australia;1974;48.80023876
Australia;1973;47.2343406
Australia;1972;46.33092037
Australia;1971;45.38865546
Australia;1970;44.15358142
Australia;1969;44.37794217
Australia;1968;44.78983834
Australia;1967;45.02021403
Australia;1966;45.83517292
Australia;1965;47.8863461
Australia;1964;48.19296375
Australia;1963;49.16341327
Australia;1962;49.52106174
Australia;1961;49.47181009
Australia;1960;50.17292785
Austria;2017;26.66972813
Austria;2016;26.92521351
Austria;2015;27.37408853
Austria;2014;27.73215235
Austria;2013;27.76734572
Austria;2012;27.97462649
Austria;2011;28.31767134
Austria;2010;28.87639481
Austria;2009;29.33576026
Austria;2008;29.60472679
Austria;2007;30.41042428
Austria;2006;31.55311986
Austria;2005;33.78845773
Austria;2004;34.8025699
Austria;2003;34.60352306
Austria;2002;36.04666444
Austria;2001;36.23192301
Austria;2000;36.9373673
Austria;1999;37.88266805
Austria;1998;38.35694772
Austria;1997;38.8973678
Austria;1996;40.12163059
Austria;1995;41.08525747
Austria;1994;41.50196539
Austria;1993;44.0377377
Austria;1992;44.52232136
Austria;1991;45.50651993
Austria;1990;46.83775449
Austria;1989;48.0000349
Austria;1988;49.07564011
Austria;1987;50.10741007
Austria;1986;50.90526505
Austria;1985;51.31436834
Austria;1984;51.98281293
Austria;1983;52.02263875
Austria;1982;52.06091829
Austria;1981;51.85266166
Austria;1980;51.65500089
Austria;1979;51.45642594
Austria;1978;51.53890448
Austria;1977;51.72371923
Austria;1976;52.35236857
Austria;1975;52.55586907
Austria;1974;52.41784038
Austria;1973;52.79434413
Austria;1972;54.30632811
Austria;1971;55.2579215
Austria;1970;56.68954412
Austria;1969;57.54228729
Austria;1968;58.04934203
Austria;1967;57.65616046
Austria;1966;58.29152685
Austria;1965;58.55719992
Austria;1964;58.95779001
Austria;1963;59.34346154
Austria;1962;58.98721129
Austria;1961;59.58577586
Austria;1960;60.07359649
Belgium;2017;
Belgium;2016;52.84423701
Belgium;2015;54.23404507
Belgium;2014;53.81960013
Belgium;2013;55.14801519
Belgium;2012;55.0488326
Belgium;2011;55.11168663
Belgium;2010;53.83723807
Belgium;2009;54.91200935
Belgium;2008;54.48818898
Belgium;2007;54.6839381
Belgium;2006;54.86869915
Belgium;2005;53.701562
Belgium;2004;54.02563447
Belgium;2003;54.15871915
Belgium;2002;55.57048345
Belgium;2001;56.3617734
Belgium;2000;56.20024239
Belgium;1999;54.27051581
Belgium;1998;55.13149455
Belgium;1997;55.57913986
Belgium;1996;56.02425521
Belgium;1995;55.71944711
Belgium;1994;54.64937496
Belgium;1993;54.9758293
Belgium;1992;54.32708128
Belgium;1991;54.34283841
Belgium;1990;53.94952475
Belgium;1989;52.8452579
Belgium;1988;50.93062606
Belgium;1987;51.63174167
Belgium;1986;51.53395381
Belgium;1985;52.41068332
Belgium;1984;51.97070108
Belgium;1983;51.89301841
Belgium;1982;52.12038304
Belgium;1981;53.36021505
Belgium;1980;54.11340544
Belgium;1979;53.45245902
Belgium;1978;53.41277723
Belgium;1977;54.34667549
Belgium;1976;53.4212261
Belgium;1975;51.86351706
Belgium;1974;49.12087912
Belgium;1973;47.95244386
Belgium;1972;46.7896679
Belgium;1971;43.93001346
Belgium;1970;42.07179487
Belgium;1969;41.97790818
Belgium;1968;42.01204392
Belgium;1967;41.23627347
Belgium;1966;40.3030303
Belgium;1965;39.86150568
Belgium;1964;39.34938893
Belgium;1963;39.77818854
Belgium;1962;38.89642185
Belgium;1961;40.44718581
Belgium;1960;41.46954813
Brazil;2017;
Brazil;2016;21.32942294
Brazil;2015;21.90417222
Brazil;2014;18.39387857
Brazil;2013;17.43514104
Brazil;2012;18.16712309
Brazil;2011;17.75248931
Brazil;2010;
Brazil;2009;19.09023677
Brazil;2008;19.52559486
Brazil;2007;19.12250276
Brazil;2006;20.51796333
Brazil;2005;20.58838582
Brazil;2004;20.16456029
Brazil;2003;20.6
Brazil;2002;19.72038341
Brazil;2001;19.52933904
Brazil;2000;20.27130567
Brazil;1999;20.14712655
Brazil;1998;19.30844946
Brazil;1997;19.61096736
Brazil;1996;19.93109693
Brazil;1995;19.95238395
Brazil;1994;20.17575129
Brazil;1993;19.95586688
Brazil;1992;20.34849881
Brazil;1991;
Brazil;1990;18.68738239
Brazil;1989;
Brazil;1988;19.36109752
Brazil;1987;
Brazil;1986;
Brazil;1985;
Brazil;1984;
Brazil;1983;
Brazil;1982;
Brazil;1981;
Brazil;1980;
Brazil;1979;
Brazil;1978;
Brazil;1977;
Brazil;1976;
Brazil;1975;
Brazil;1974;
Brazil;1973;
Brazil;1972;
Brazil;1971;
Brazil;1970;
Brazil;1969;
Brazil;1968;
Brazil;1967;
Brazil;1966;
Brazil;1965;
Brazil;1964;
Brazil;1963;
Brazil;1962;
Brazil;1961;
Brazil;1960;
Bulgaria;2017;
Bulgaria;2016;13.87928408
Bulgaria;2015;13.78823529
Bulgaria;2014;14.00503486
Bulgaria;2013;13.74170579
Bulgaria;2012;13.41769261
Bulgaria;2011;13.88590088
Bulgaria;2010;14.63541667
Bulgaria;2009;15.08713985
Bulgaria;2008;15.55308979
Bulgaria;2007;17.21609276
Bulgaria;2006;
Bulgaria;2005;18.61231912
Bulgaria;2004;
Bulgaria;2003;23.18984032
Bulgaria;2002;
Bulgaria;2001;
Bulgaria;2000;23.01613558
Bulgaria;1999;
Bulgaria;1998;29.68348476
Bulgaria;1997;32.60866758
Bulgaria;1996;
Bulgaria;1995;
Bulgaria;1994;
Bulgaria;1993;69.02487879
Bulgaria;1992;
Bulgaria;1991;
Bulgaria;1990;81.24242424
Bulgaria;1989;
Bulgaria;1988;
Bulgaria;1987;
Bulgaria;1986;
Bulgaria;1985;
Bulgaria;1984;
Bulgaria;1983;
Bulgaria;1982;
Bulgaria;1981;
Bulgaria;1980;
Bulgaria;1979;
Bulgaria;1978;97.54489761
Bulgaria;1977;
Bulgaria;1976;
Bulgaria;1975;
Bulgaria;1974;
Bulgaria;1973;
Bulgaria;1972;
Bulgaria;1971;
Bulgaria;1970;
Bulgaria;1969;
Bulgaria;1968;
Bulgaria;1967;
Bulgaria;1966;
Bulgaria;1965;
Bulgaria;1964;
Bulgaria;1963;
Bulgaria;1962;
Bulgaria;1961;
Bulgaria;1960;
Canada;2017;
Canada;2016;
Canada;2015;29.44272142
Canada;2014;29.26272371
Canada;2013;29.20507908
Canada;2012;29.80274173
Canada;2011;29.77036455
Canada;2010;30.05742115
Canada;2009;30.69532004
Canada;2008;29.8181206
Canada;2007;30.19364171
Canada;2006;30.08811519
Canada;2005;30.41426683
Canada;2004;30.4115732
Canada;2003;30.17384839
Canada;2002;30.29577904
Canada;2001;31.0221555
Canada;2000;31.15833832
Canada;1999;31.76765305
Canada;1998;32.3527988
Canada;1997;32.42273049
Canada;1996;34.14891744
Canada;1995;33.92154224
Canada;1994;34.34341701
Canada;1993;35.68178636
Canada;1992;35.5778139
Canada;1991;35.26114254
Canada;1990;34.02495231
Canada;1989;33.49382653
Canada;1988;33.3936038
Canada;1987;33.90210442
Canada;1986;34.5025345
Canada;1985;35.28783211
Canada;1984;35.89020086
Canada;1983;35.88999698
Canada;1982;36.79793741
Canada;1981;33.912942
Canada;1980;34.03370606
Canada;1979;34.57836443
Canada;1978;35.46928088
Canada;1977;35.07853403
Canada;1976;34.52698485
Canada;1975;34.34029851
Canada;1974;33.14688716
Canada;1973;33.07984791
Canada;1972;31.82123205
Canada;1971;30.78958362
Canada;1970;31.0251285
Canada;1969;30.10300305
Canada;1968;30.1530153
Canada;1967;29.58570769
Canada;1966;27.5686835
Canada;1965;26.70588235
Canada;1964;26.43881707
Canada;1963;26.76394533
Canada;1962;27.06867034
Canada;1961;28.51793457
Canada;1960;29.1625025
Chile;2017;
Chile;2016;17.82930221
Chile;2015;16.25139345
Chile;2014;15.5326049
Chile;2013;15.03291293
Chile;2012;15.32912938
Chile;2011;14.8664476
Chile;2010;14.96501077
Chile;2009;15.84008231
Chile;2008;14.962951
Chile;2007;13.92953389
Chile;2006;12.48780109
Chile;2005;12.30128985
Chile;2004;12.70054755
Chile;2003;12.8688421
Chile;2002;12.29154158
Chile;2001;12.06135814
Chile;2000;12.26467519
Chile;1999;12.2165701
Chile;1998;12.95680611
Chile;1997;13.23749479
Chile;1996;13.72822562
Chile;1995;14.41997946
Chile;1994;15.56841884
Chile;1993;16.01090528
Chile;1992;17.89058393
Chile;1991;18.34043444
Chile;1990;16.5717324
Chile;1989;14.22029326
Chile;1988;12.78977898
Chile;1987;12.89185149
Chile;1986;12.29992262
Chile;1985;
Chile;1984;
Chile;1983;
Chile;1982;
Chile;1981;
Chile;1980;10
Chile;1979;
Chile;1978;
Chile;1977;
Chile;1976;
Chile;1975;
Chile;1974;
Chile;1973;29
Chile;1972;
Chile;1971;
Chile;1970;22
Chile;1969;
Chile;1968;
Chile;1967;
Chile;1966;
Chile;1965;
Chile;1964;22
Chile;1963;
Chile;1962;
Chile;1961;
Chile;1960;
China;2017;
China;2016;
China;2015;
China;2014;
China;2013;42.5577304
China;2012;41.16239442
China;2011;37.8022636
China;2010;34.7282121
China;2009;32.68888406
China;2008;30.40221815
China;2007;
China;2006;
China;2005;
China;2004;
China;2003;
China;2002;11
China;2001;
China;2000;14.84710839
China;1999;
China;1998;
China;1997;62.25115899
China;1996;68.79016504
China;1995;69.75851892
China;1994;68.70833053
China;1993;68.53054078
China;1992;69.78481466
China;1991;75.94871008
China;1990;76.67158365
China;1989;76.80359634
China;1988;70.75911229
China;1987;70.65558759
China;1986;69.54712592
China;1985;68.99291928
China;1984;67.53158275
China;1983;66.81140416
China;1982;64.99069231
China;1981;62.56021646
China;1980;58.56640846
China;1979;
China;1978;
China;1977;
China;1976;
China;1975;
China;1974;
China;1973;
China;1972;
China;1971;
China;1970;
China;1969;
China;1968;
China;1967;
China;1966;
China;1965;
China;1964;
China;1963;
China;1962;
China;1961;
China;1960;
Colombia;2017;6.462051719
Colombia;2016;6.515108424
Colombia;2015;5.407428197
Colombia;2014;5.748352074
Colombia;2013;6.533356876
Colombia;2012;4.966037761
Colombia;2011;4.949879302
Colombia;2010;5.007909605
Colombia;2009;4.712709722
Colombia;2008;4.835985734
Colombia;2007;
Colombia;2006;
Colombia;2005;4.875644527
Colombia;2004;
Colombia;2003;
Colombia;2002;5.46206357
Colombia;2001;
Colombia;2000;
Colombia;1999;
Colombia;1998;
Colombia;1997;
Colombia;1996;12.3059094
Colombia;1995;
Colombia;1994;
Colombia;1993;12.65310844
Colombia;1992;13.35512479
Colombia;1991;13.65356189
Colombia;1990;
Colombia;1989;
Colombia;1988;
Colombia;1987;
Colombia;1986;
Colombia;1985;
Colombia;1984;
Colombia;1983;
Colombia;1982;
Colombia;1981;
Colombia;1980;
Colombia;1979;
Colombia;1978;
Colombia;1977;
Colombia;1976;
Colombia;1975;
Colombia;1974;
Colombia;1973;
Colombia;1972;
Colombia;1971;
Colombia;1970;
Colombia;1969;
Colombia;1968;
Colombia;1967;
Colombia;1966;
Colombia;1965;
Colombia;1964;
Colombia;1963;
Colombia;1962;
Colombia;1961;
Colombia;1960;
Costa Rica;2017;
Costa Rica;2016;
Costa Rica;2015;15.48843188
Costa Rica;2014;14.18485237
Costa Rica;2013;13.5821873
Costa Rica;2012;13.12867407
Costa Rica;2011;12.63227513
Costa Rica;2010;13.5359116
Costa Rica;2009;12.5653765
Costa Rica;2008;11.81352488
Costa Rica;2007;11.36190476
Costa Rica;2006;12.738949
Costa Rica;2005;13.15634358
Costa Rica;2004;13.86684257
Costa Rica;2003;14.44815789
Costa Rica;2002;14.38247232
Costa Rica;2001;13.6152479
Costa Rica;2000;16.22915327
Costa Rica;1999;
Costa Rica;1998;
Costa Rica;1997;
Costa Rica;1996;
Costa Rica;1995;
Costa Rica;1994;
Costa Rica;1993;
Costa Rica;1992;
Costa Rica;1991;
Costa Rica;1990;
Costa Rica;1989;
Costa Rica;1988;
Costa Rica;1987;
Costa Rica;1986;
Costa Rica;1985;
Costa Rica;1984;
Costa Rica;1983;
Costa Rica;1982;
Costa Rica;1981;
Costa Rica;1980;
Costa Rica;1979;
Costa Rica;1978;
Costa Rica;1977;
Costa Rica;1976;
Costa Rica;1975;
Costa Rica;1974;
Costa Rica;1973;
Costa Rica;1972;
Costa Rica;1971;
Costa Rica;1970;
Costa Rica;1969;
Costa Rica;1968;
Costa Rica;1967;
Costa Rica;1966;
Costa Rica;1965;
Costa Rica;1964;
Costa Rica;1963;
Costa Rica;1962;
Costa Rica;1961;
Costa Rica;1960;
Croatia;2017;
Croatia;2016;23.87935813
Croatia;2015;25.0260223
Croatia;2014;26.12528302
Croatia;2013;28.52622294
Croatia;2012;27.58462758
Croatia;2011;27.20187062
Croatia;2010;
Croatia;2009;
Croatia;2008;30.2660485
Croatia;2007;
Croatia;2006;
Croatia;2005;
Croatia;2004;38.03438801
Croatia;2003;
Croatia;2002;
Croatia;2001;
Croatia;2000;
Croatia;1999;40
Croatia;1998;
Croatia;1997;
Croatia;1996;59.97818975
Croatia;1995;
Croatia;1994;65
Croatia;1993;
Croatia;1992;
Croatia;1991;
Croatia;1990;
Croatia;1989;
Croatia;1988;
Croatia;1987;
Croatia;1986;
Croatia;1985;
Croatia;1984;
Croatia;1983;
Croatia;1982;
Croatia;1981;
Croatia;1980;
Croatia;1979;
Croatia;1978;
Croatia;1977;
Croatia;1976;
Croatia;1975;
Croatia;1974;
Croatia;1973;
Croatia;1972;
Croatia;1971;
Croatia;1970;
Croatia;1969;
Croatia;1968;
Croatia;1967;
Croatia;1966;
Croatia;1965;
Croatia;1964;
Croatia;1963;
Croatia;1962;
Croatia;1961;
Croatia;1960;
Cyprus;2017;
Cyprus;2016;43.73454545
Cyprus;2015;44.01483444
Cyprus;2014;45.81208054
Cyprus;2013;46.6179402
Cyprus;2012;45.37009346
Cyprus;2011;45.60152905
Cyprus;2010;48.03431677
Cyprus;2009;52.76869055
Cyprus;2008;57.26472222
Cyprus;2007;58.05980066
Cyprus;2006;62.24419929
Cyprus;2005;64.55320225
Cyprus;2004;65.5
Cyprus;2003;66.19222
Cyprus;2002;63.2
Cyprus;2001;62.87586864
Cyprus;2000;64.93161435
Cyprus;1999;
Cyprus;1998;67.52931662
Cyprus;1997;
Cyprus;1996;
Cyprus;1995;72.6618705
Cyprus;1994;
Cyprus;1993;73.37332718
Cyprus;1992;
Cyprus;1991;
Cyprus;1990;76.04391335
Cyprus;1989;
Cyprus;1988;
Cyprus;1987;
Cyprus;1986;
Cyprus;1985;
Cyprus;1984;
Cyprus;1983;
Cyprus;1982;
Cyprus;1981;
Cyprus;1980;
Cyprus;1979;
Cyprus;1978;
Cyprus;1977;
Cyprus;1976;
Cyprus;1975;
Cyprus;1974;
Cyprus;1973;
Cyprus;1972;
Cyprus;1971;
Cyprus;1970;
Cyprus;1969;
Cyprus;1968;
Cyprus;1967;
Cyprus;1966;
Cyprus;1965;
Cyprus;1964;
Cyprus;1963;
Cyprus;1962;
Cyprus;1961;
Cyprus;1960;
Czech Republic;2017;11.74796372
Czech Republic;2016;12.00971599
Czech Republic;2015;12.01562031
Czech Republic;2014;12.86339395
Czech Republic;2013;13.57383969
Czech Republic;2012;14.81119355
Czech Republic;2011;15.43004318
Czech Republic;2010;16.1459112
Czech Republic;2009;16.67357336
Czech Republic;2008;16.89989621
Czech Republic;2007;17.38349732
Czech Republic;2006;18.13618831
Czech Republic;2005;19.11659849
Czech Republic;2004;20.63547083
Czech Republic;2003;22.27899886
Czech Republic;2002;22.37171401
Czech Republic;2001;23.76857629
Czech Republic;2000;27.21328411
Czech Republic;1999;29.96217462
Czech Republic;1998;32.05583298
Czech Republic;1997;37.64593757
Czech Republic;1996;40.37197181
Czech Republic;1995;44.54712399
Czech Republic;1994;53.15299282
Czech Republic;1993;67.17850288
Czech Republic;1992;
Czech Republic;1991;
Czech Republic;1990;
Czech Republic;1989;
Czech Republic;1988;
Czech Republic;1987;
Czech Republic;1986;
Czech Republic;1985;
Czech Republic;1984;
Czech Republic;1983;
Czech Republic;1982;
Czech Republic;1981;
Czech Republic;1980;
Czech Republic;1979;
Czech Republic;1978;
Czech Republic;1977;
Czech Republic;1976;
Czech Republic;1975;
Czech Republic;1974;
Czech Republic;1973;
Czech Republic;1972;
Czech Republic;1971;
Czech Republic;1970;
Czech Republic;1969;
Czech Republic;1968;
Czech Republic;1967;
Czech Republic;1966;
Czech Republic;1965;
Czech Republic;1964;
Czech Republic;1963;
Czech Republic;1962;
Czech Republic;1961;
Czech Republic;1960;
Denmark;2017;
Denmark;2016;67.0907894
Denmark;2015;68.59098232
Denmark;2014;69.25934013
Denmark;2013;69.34497388
Denmark;2012;69.75402908
Denmark;2011;70.06583709
Denmark;2010;69.19416328
Denmark;2009;68.41692597
Denmark;2008;66.24460549
Denmark;2007;67.80221911
Denmark;2006;68.43386295
Denmark;2005;70.85756074
Denmark;2004;71.4685372
Denmark;2003;72.0077222
Denmark;2002;72.41414203
Denmark;2001;72.96816414
Denmark;2000;73.61136332
Denmark;1999;74.01259243
Denmark;1998;75.23459138
Denmark;1997;75.18392702
Denmark;1996;76.37057908
Denmark;1995;75.85980871
Denmark;1994;76.5086599
Denmark;1993;76.71868861
Denmark;1992;74.8901211
Denmark;1991;75.01421398
Denmark;1990;74.60396923
Denmark;1989;74.87431063
Denmark;1988;73.09333278
Denmark;1987;75.22378703
Denmark;1986;76.90813884
Denmark;1985;77.54765541
Denmark;1984;78.57581939
Denmark;1983;80.12487216
Denmark;1982;79.78516764
Denmark;1981;79.85570934
Denmark;1980;77.96085733
Denmark;1979;77.10393395
Denmark;1978;77.84317833
Denmark;1977;74.05840572
Denmark;1976;72.99874935
Denmark;1975;68.86940495
Denmark;1974;65.15415369
Denmark;1973;62.206893
Denmark;1972;61.49589184
Denmark;1971;62.22595174
Denmark;1970;60.30174197
Denmark;1969;59.22648859
Denmark;1968;58.63596628
Denmark;1967;57.36182336
Denmark;1966;56.80836333
Denmark;1965;58.19846426
Denmark;1964;58.19222657
Denmark;1963;57.4611951
Denmark;1962;57.61767502
Denmark;1961;57.53954924
Denmark;1960;56.91906005
Estonia;2017;4.301151505
Estonia;2016;4.43885024
Estonia;2015;4.714488575
Estonia;2014;5.480477176
Estonia;2013;5.733516362
Estonia;2012;6.071635666
Estonia;2011;7.033623909
Estonia;2010;8.062014776
Estonia;2009;7.707554535
Estonia;2008;6.987774009
Estonia;2007;7.576009374
Estonia;2006;8.492086691
Estonia;2005;9.378557883
Estonia;2004;10.10158584
Estonia;2003;11.25189091
Estonia;2002;12.8201591
Estonia;2001;13.3407192
Estonia;2000;13.99091803
Estonia;1999;
Estonia;1998;17.13586957
Estonia;1997;
Estonia;1996;28.79425166
Estonia;1995;32.35143879
Estonia;1994;40.82299151
Estonia;1993;62.05064083
Estonia;1992;93.91560353
Estonia;1991;
Estonia;1990;
Estonia;1989;
Estonia;1988;
Estonia;1987;
Estonia;1986;
Estonia;1985;
Estonia;1984;
Estonia;1983;
Estonia;1982;
Estonia;1981;
Estonia;1980;
Estonia;1979;
Estonia;1978;
Estonia;1977;
Estonia;1976;
Estonia;1975;
Estonia;1974;
Estonia;1973;
Estonia;1972;
Estonia;1971;
Estonia;1970;
Estonia;1969;
Estonia;1968;
Estonia;1967;
Estonia;1966;
Estonia;1965;
Estonia;1964;
Estonia;1963;
Estonia;1962;
Estonia;1961;
Estonia;1960;
Finland;2017;61.7165351
Finland;2016;64.57751042
Finland;2015;66.45893822
Finland;2014;66.71302607
Finland;2013;66.26873212
Finland;2012;67.28619356
Finland;2011;67.27631545
Finland;2010;68.30062276
Finland;2009;68.92338857
Finland;2008;69.48666982
Finland;2007;70.20131535
Finland;2006;70.06200423
Finland;2005;70.37638616
Finland;2004;71.16089712
Finland;2003;72.56577031
Finland;2002;73.21013932
Finland;2001;74.25303823
Finland;2000;74.62856859
Finland;1999;75.94135373
Finland;1998;78.40621396
Finland;1997;79.48878314
Finland;1996;80.80465236
Finland;1995;80.84469812
Finland;1994;80.77680982
Finland;1993;81.223714
Finland;1992;78.90513819
Finland;1991;75.88307916
Finland;1990;72.77694971
Finland;1989;73.16933365
Finland;1988;72.29333641
Finland;1987;70.64298836
Finland;1986;69.98869178
Finland;1985;69.06363416
Finland;1984;68.97137409
Finland;1983;68.79859544
Finland;1982;68.41273665
Finland;1981;68.33141247
Finland;1980;69.37638328
Finland;1979;68.09590296
Finland;1978;66.9492645
Finland;1977;66.69366597
Finland;1976;67.5685971
Finland;1975;65.28251634
Finland;1974;63.19911882
Finland;1973;61.37377803
Finland;1972;60.80012037
Finland;1971;56.1950261
Finland;1970;51.31782562
Finland;1969;47.52776886
Finland;1968;41.01524782
Finland;1967;40.69467806
Finland;1966;39.56596167
Finland;1965;38.31444315
Finland;1964;37.02220727
Finland;1963;37.44887955
Finland;1962;35.29565522
Finland;1961;31.50273973
Finland;1960;31.8793985
France;2017;
France;2016;7.881591396
France;2015;7.916700306
France;2014;7.960613073
France;2013;8.067320974
France;2012;8.127445058
France;2011;8.068854582
France;2010;8.006271506
France;2009;7.926335819
France;2008;7.794476325
France;2007;7.880114764
France;2006;7.976812999
France;2005;7.991878756
France;2004;8.060359327
France;2003;8.355783446
France;2002;8.055984427
France;2001;7.90563664
France;2000;7.97093894
France;1999;8.058862492
France;1998;8.182113073
France;1997;8.331321577
France;1996;8.285411015
France;1995;8.712071897
France;1994;8.933547805
France;1993;9.340645344
France;1992;9.608836167
France;1991;9.597695363
France;1990;9.826876207
France;1989;10.65365025
France;1988;11.22962803
France;1987;11.93284688
France;1986;12.47239399
France;1985;13.60699566
France;1984;14.9264542
France;1983;15.96345515
France;1982;17.00510431
France;1981;17.76921789
France;1980;18.28004901
France;1979;19.03641457
France;1978;20.51990527
France;1977;21.27586991
France;1976;21.29747201
France;1975;22.1506384
France;1974;21.74749359
France;1973;22.11168354
France;1972;21.58897791
France;1971;21.55954806
France;1970;21.69249106
France;1969;22.19282395
France;1968;20.41986005
France;1967;19.06392694
France;1966;18.8939466
France;1965;19.4747754
France;1964;19.73415852
France;1963;20.12633413
France;1962;19.11091087
France;1961;20.24986587
France;1960;19.64923172
Germany;2017;16.72970414
Germany;2016;16.99060565
Germany;2015;17.55971541
Germany;2014;17.72092522
Germany;2013;17.9677444
Germany;2012;18.25936638
Germany;2011;18.40665561
Germany;2010;18.85586266
Germany;2009;18.83228336
Germany;2008;19.0311185
Germany;2007;19.76431858
Germany;2006;20.58653772
Germany;2005;21.52750021
Germany;2004;22.17100847
Germany;2003;23.01838935
Germany;2002;23.50734605
Germany;2001;23.74760047
Germany;2000;24.57075559
Germany;1999;25.32283661
Germany;1998;25.94323457
Germany;1997;26.98212875
Germany;1996;27.75278896
Germany;1995;29.21773764
Germany;1994;30.37926848
Germany;1993;31.82211613
Germany;1992;33.86009104
Germany;1991;35.98748046
Germany;1990;31.21969691
Germany;1989;32.40996806
Germany;1988;33.11242129
Germany;1987;33.33016478
Germany;1986;33.91574197
Germany;1985;34.66611033
Germany;1984;34.89778499
Germany;1983;34.99908592
Germany;1982;35.02173367
Germany;1981;35.14598237
Germany;1980;34.89528803
Germany;1979;35.30386225
Germany;1978;35.5380411
Germany;1977;35.24403918
Germany;1976;35.10615105
Germany;1975;34.57936378
Germany;1974;33.74527967
Germany;1973;32.4322619
Germany;1972;32.36580162
Germany;1971;32.13307849
